timestamp,bpm,quality,source,restorative
2023-08-14T02:56:33.000Z,81,good,awake,False
2023-08-14T03:01:10.000Z,78,good,awake,False
2023-08-14T03:01:45.000Z,66,good,awake,False
2023-08-14T03:01:49.000Z,68,good,awake,False
2023-08-14T03:06:57.000Z,70,good,awake,False
2023-08-14T03:07:01.000Z,69,good,awake,False
2023-08-14T03:07:04.000Z,72,good,awake,False
2023-08-14T03:11:45.000Z,80,good,awake,False
2023-08-14T03:12:09.000Z,77,good,awake,False
2023-08-14T03:12:14.000Z,75,good,awake,False
2023-08-14T03:35:16.000Z,109,good,awake,False
2023-08-14T03:35:27.000Z,106,good,awake,False
2023-08-14T03:35:38.000Z,113,good,awake,False
2023-08-14T03:40:26.000Z,99,good,awake,False
2023-08-14T03:40:29.000Z,103,good,awake,False
2023-08-14T03:40:48.000Z,64,good,awake,False
2023-08-14T03:45:45.000Z,115,good,awake,False
2023-08-14T03:45:46.000Z,122,good,awake,False
2023-08-14T03:45:57.000Z,112,good,awake,False
2023-08-14T04:01:02.000Z,87,good,awake,False
2023-08-14T04:01:09.000Z,81,good,awake,False
2023-08-14T04:01:13.000Z,83,good,awake,False
2023-08-14T04:06:13.000Z,82,good,awake,False
2023-08-14T04:06:17.000Z,84,good,awake,False
2023-08-14T04:06:20.000Z,86,good,awake,False
2023-08-14T04:56:15.000Z,80,good,awake,False
2023-08-14T04:56:25.000Z,78,good,awake,False
2023-08-14T04:56:31.000Z,81,good,awake,False
2023-08-14T05:01:02.000Z,75,good,awake,False
2023-08-14T05:01:21.000Z,78,good,awake,False
2023-08-14T05:01:26.000Z,82,good,awake,False
2023-08-14T05:31:33.000Z,99,good,awake,False
2023-08-14T05:31:43.000Z,100,good,awake,False
2023-08-14T05:31:46.000Z,96,good,awake,False
2023-08-14T05:41:59.000Z,72,good,awake,False
2023-08-14T05:42:22.000Z,68,good,awake,False
2023-08-14T05:42:27.000Z,70,good,awake,False
2023-08-14T05:46:53.000Z,76,good,awake,False
